"COU","Country","SEX","Sex","IND","Indicator","YEAR","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"SWE","Sweden","TOTAL","Total","FAM2","Mean age of women at childbirth","1990","1990","YR","Years","0","Units",,,28.6,,
"SWE","Sweden","TOTAL","Total","FAM2","Mean age of women at childbirth","1991","1991","YR","Years","0","Units",,,28.7,,
"SWE","Sweden","TOTAL","Total","FAM2","Mean age of women at childbirth","1992","1992","YR","Years","0","Units",,,28.8,,
"SWE","Sweden","TOTAL","Total","FAM2","Mean age of women at childbirth","1993","1993","YR","Years","0","Units",,,29,,
"SWE","Sweden","TOTAL","Total","FAM2","Mean age of women at childbirth","1994","1994","YR","Years","0","Units",,,29.1,,
"SWE","Sweden","TOTAL","Total","FAM2","Mean age of women at childbirth","1995","1995","YR","Years","0","Units",,,29.2,,
"SWE","Sweden","TOTAL","Total","FAM2","Mean age of women at childbirth","1996","1996","YR","Years","0","Units",,,29.4,,
"SWE","Sweden","TOTAL","Total","FAM2","Mean age of women at childbirth","1997","1997","YR","Years","0","Units",,,29.5,,
"SWE","Sweden","TOTAL","Total","FAM2","Mean age of women at childbirth","1998","1998","YR","Years","0","Units",,,29.7,,
"SWE","Sweden","TOTAL","Total","FAM2","Mean age of women at childbirth","1999","1999","YR","Years","0","Units",,,29.8,,
"SWE","Sweden","TOTAL","Total","FAM2","Mean age of women at childbirth","2000","2000","YR","Years","0","Units",,,29.9,,
"SWE","Sweden","TOTAL","Total","FAM2","Mean age of women at childbirth","2001","2001","YR","Years","0","Units",,,30,,
"SWE","Sweden","TOTAL","Total","FAM2","Mean age of women at childbirth","2002","2002","YR","Years","0","Units",,,30.1,,
"SWE","Sweden","TOTAL","Total","FAM2","Mean age of women at childbirth","2003","2003","YR","Years","0","Units",,,30.3,,
"SWE","Sweden","TOTAL","Total","FAM2","Mean age of women at childbirth","2004","2004","YR","Years","0","Units",,,30.4,,
"SWE","Sweden","TOTAL","Total","FAM2","Mean age of women at childbirth","2005","2005","YR","Years","0","Units",,,30.5,,
"SWE","Sweden","TOTAL","Total","FAM2","Mean age of women at childbirth","2006","2006","YR","Years","0","Units",,,30.6,,
"SWE","Sweden","TOTAL","Total","FAM2","Mean age of women at childbirth","2007","2007","YR","Years","0","Units",,,30.6,,
