"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","EDUADULT","TRY_WOMEN","PC_25_64","A","1989",35.465088,
"AUS","EDUADULT","TRY_WOMEN","PC_25_64","A","1991",35.655266,
"AUS","EDUADULT","TRY_WOMEN","PC_25_64","A","1993",21.418512,
"AUS","EDUADULT","TRY_WOMEN","PC_25_64","A","1994",21.740088,
"AUS","EDUADULT","TRY_WOMEN","PC_25_64","A","1995",22.807888,
"AUS","EDUADULT","TRY_WOMEN","PC_25_64","A","1997",24.797144,
"AUS","EDUADULT","TRY_WOMEN","PC_25_64","A","1998",26.414537,
"AUS","EDUADULT","TRY_WOMEN","PC_25_64","A","1999",27.711052,
"AUS","EDUADULT","TRY_WOMEN","PC_25_64","A","2000",28.838318,
"AUS","EDUADULT","TRY_WOMEN","PC_25_64","A","2001",30.789335,
"AUS","EDUADULT","TRY_WOMEN","PC_25_64","A","2002",32.061394,
"AUS","EDUADULT","TRY_WOMEN","PC_25_64","A","2003",32.682934,
"AUS","EDUADULT","TRY_WOMEN","PC_25_64","A","2004",32.562542,
"AUS","EDUADULT","TRY_WOMEN","PC_25_64","A","2005",33.12809,
"AUS","EDUADULT","TRY_WOMEN","PC_25_64","A","2006",35.344658,
"AUS","EDUADULT","TRY_WOMEN","PC_25_64","A","2007",36.054111,
"AUS","EDUADULT","TRY_WOMEN","PC_25_64","A","2008",39.232346,
"AUS","EDUADULT","TRY_WOMEN","PC_25_64","A","2009",39.784927,
"AUS","EDUADULT","TRY_WOMEN","PC_25_64","A","2010",40.772198,
"AUS","EDUADULT","TRY_WOMEN","PC_25_64","A","2011",42.043972,
"AUS","EDUADULT","TRY_WOMEN","PC_25_64","A","2012",44.97641,
"AUS","EDUADULT","TRY_WOMEN","PC_25_64","A","2013",43.913063,
"AUS","EDUADULT","TRY_WOMEN","PC_25_64","A","2014",45.340527,
"AUS","EDUADULT","TRY_WOMEN","PC_25_64","A","2015",47.239651,
"AUS","EDUADULT","TRY_WOMEN","PC_25_64","A","2016",47.630001,
"AUS","EDUADULT","TRY_WOMEN","PC_25_64","A","2017",50.127247,
"AUS","EDUADULT","TRY_WOMEN","PC_25_64","A","2018",50.837093,
"AUS","EDUADULT","TRY_WOMEN","PC_25_64","A","2019",51.648521,
"AUT","EDUADULT","TRY_WOMEN","PC_25_64","A","2004",20.959906,
"AUT","EDUADULT","TRY_WOMEN","PC_25_64","A","2005",21.409132,
"AUT","EDUADULT","TRY_WOMEN","PC_25_64","A","2006",22.137461,
"AUT","EDUADULT","TRY_WOMEN","PC_25_64","A","2007",22.145061,
"AUT","EDUADULT","TRY_WOMEN","PC_25_64","A","2008",23.499393,
"AUT","EDUADULT","TRY_WOMEN","PC_25_64","A","2009",24.682976,
"AUT","EDUADULT","TRY_WOMEN","PC_25_64","A","2010",25.881966,
"AUT","EDUADULT","TRY_WOMEN","PC_25_64","A","2011",25.959198,
"AUT","EDUADULT","TRY_WOMEN","PC_25_64","A","2012",26.770844,
"AUT","EDUADULT","TRY_WOMEN","PC_25_64","A","2013",28.151951,
"AUT","EDUADULT","TRY_WOMEN","PC_25_64","A","2014",28.621651,
"AUT","EDUADULT","TRY_WOMEN","PC_25_64","A","2015",29.142385,
"AUT","EDUADULT","TRY_WOMEN","PC_25_64","A","2016",30.600239,
"AUT","EDUADULT","TRY_WOMEN","PC_25_64","A","2017",31.872847,
"AUT","EDUADULT","TRY_WOMEN","PC_25_64","A","2018",31.769451,
"AUT","EDUADULT","TRY_WOMEN","PC_25_64","A","2019",33.357452,
"BEL","EDUADULT","TRY_WOMEN","PC_25_64","A","1989",15.446197,
"BEL","EDUADULT","TRY_WOMEN","PC_25_64","A","1991",18.616419,
"BEL","EDUADULT","TRY_WOMEN","PC_25_64","A","1992",19.710215,
"BEL","EDUADULT","TRY_WOMEN","PC_25_64","A","1994",22.410318,
"BEL","EDUADULT","TRY_WOMEN","PC_25_64","A","1995",24.733135,
"BEL","EDUADULT","TRY_WOMEN","PC_25_64","A","2000",27.610184,
